,총무과,자치행정과,홍보과,교육지원과,문화체육과,민원여권과,기획예산과,일자리경제과,스마트정보과,재무과,징수과,재산세과,지방소득세과,복지정책과,어르신복지과,자립지원과,가족정책과,보육정책과,녹색환경과,건설관리과,공원녹지과,청소행정과,주택과,도시계획과,재건축사업과,건축과,부동산정보과,안전재난과,도로과,치수과,교통행정과,주차관리과,보건행정과,보건위생과,지역보건과,의약과,보건지소
17,청사 CCTV유지관리,세입예산 및 충무계획,홍보대사 운영,대입정보 지원(1:1 집중 상담 등),"문화산업(PC,노래연습장), 출판, 관광 등 (신정동)",전산화 및 콘텐츠개발 사업,정책실명제,미니 일자리 잡다(JOB多) DAY 개최,정보화 기본계획 및 시행계획 수립,"실적증명, 하자보수 관리","체납 담당동 : 목2동, 신월2동, 신월4동",취득세 수시분 총괄,"지방소득세 부과 징수(신정1동, 신월7동)","코로나19 생활지원비 총괄 및 지급(목동,신정동)",프로그램 강사관리(강사료 등),장애인연금 및 장애수당 총괄,"양성평등정책, 양성평등주간행사",국공립어린이집 지도점검 총괄,국장실 비서,건설기계 등록(민원)업무 및 증명발급,공원팀 현장관리,무단투기 현장단속 및 계도,임대차계약신고(신월동 방문/온라인 접수),신월생활권중심 지구단위계획,"소규모재건축, 가로주택정비(신정동)",부설주차장 관리 총괄,저소득주민 무료중개서비스,"안전체험교육 프로그램 개발, 운영","도로시설물 유지보수 민원담당(신정동, 신월동)",하수도원인자부담금 업무 총괄,특별교통대책수립시행 및 교통관련 신규사업 발굴,부설주차장 야간개방 사업(목동),보건소 행정차량 운행 및 관리,식품자동판매기 지도점검,"예방접종 접수 및 안내, 예방접종 등록관련 업무","의원급 의료기관 인허가(신정동,신월동)",순환운동실 관리
18,종합상황실 운영지원,"세출예산(편성,집행) 총괄 관리",한글진흥 업무,"교육박람회(대입,고입) 운영",찾아가는 작은 연주회,민간기록 수집 및 전시기획,"열린구정,주간정책,산하기관장 회의자료",구인구직 일자리현장 발굴,신규 현안 전산(시스템) 관련 업무,조달업무(총액계약),공공기록정보 제공,취득세 감액 총괄,법인지방소득세 특별징수세액 정산 총괄,"무연고사망자, 의사상자",기타 양천구 어르신복지 관련 업무,"장애인 이룸통장, 장애인 자립자금 대여, 장애인가정 출산비 지원","성별영향평가업무, 양성평등기금 운용",국공립어린이집(목동),"환경개선부담금 부과,징수 관리",건설기계사업자 관리,공원여가 종합계획 수립,무단투기 단속,타 지자체 민원이송(정),목동오거리 지구단위계획구역 관리 및 운용,리모델링사업업무,가설건축물 총괄,토지거래계약 허가(목동신시가지아파트 1~6단지),"안전체험교육관 시설물 관리 및 체험관 운영보고, 홍보 및 상담지원",도로공사 설계 및 감독(목동서로8길 외 1개소 도로정비공사),"하수시설물 통계, 각종 대장관리 업무",교통유발부담금 부과 징수 업무 보조,공영주차장 운영 및 민원처리(목동),보건소 주차장 및 청사관리 지원,목1동 민원처리 및 시설조사,예방접종실 운영,의원급 의료기관 진정민원 처리에 관한 사항,목동보건지소 업무 총괄
19,구청사 방송장비 담당,주요업무 보고자료 및 각종 회의자료,꿈나무소식지 발행,구립도서관 및 북카페 운영,문화누리카드,"기록물관리(생산보고, 폐기, 실태점검)",구정기본현황,취업정보 안내 홈페이지 게시,"새올행정시스템, 행정포털시스템 기능고도화","총무과, 안전재난과, 복지정책과, 보육정책과, 도로과","체납고지서 발송, 체납전산(세무종합)","재산세 및 취득세 담당동(신정6동, 신월6동)","지방소득세 부과 징수(신정4동, 신월6동)",찾아가는 보건복지서비스(복지부) 및 동행센터 운영 관리,일상경비 회계업무,"장애인 바우처택시, 장애인 자동차 표지","여성정책평가(서울시,자치구 공동협력사업)","국공립어린이집 식자재 공동구매, 행사 주관, 양천형 밤샘긴급돌봄어린이집 운영",환경개선부담금 각종 현황 자료,불법 유동광고물 과태료 부과 업무,계절별 공원축제 및 주요 문화행사 기획,재활용폐기물 선별처리용역,임대사업자 등록관리 업무(목동),목동중심지구 지구단위계획구역 관리 및 운용(용역),"목동아파트 8단지,13단지,14단지",건축인허가(신월7동),부동산거래신고 및 과태료 부과징수 관리(목동),"심폐소생술, 완강기, 연기피난, 소화기 등 체험강의 및 재난안전 교육",도로(차도) 유지관리 업무(보조),"신정2,6,7동 민원처리",업무보고 및 회의자료 작성,거주자우선주차장 조성 및 관리(총괄),"서울시, 보건지소, 각 동 업무연락 등",식중독 관련 업무,코로나19예방접종 이상반응피해보상 접수 및 상담,의료유사업(안마) 업무 시행에 관한 사항,목동보건지소 예산 및 청사관리
20,종합상황실 운영,적십자 활동 지원,구정홍보물 제작 검토회의 운영,양천문화재단 관련 업무(도서관운영팀),"공연장, 영화관",통합민원(인감증명관련 업무 총괄),새해 달라지는 제도,지역공동체일자리사업 참여자 관리,빅데이터 과제 발굴 및 분석 사업,"주차관리과, 재건축사업과, 부동산정보과 소관 계약 업무","체납 담당동 : 목1동, 목4동",취득세 총괄,지방소득세(특별징수) 총괄,복지상담전문관 및 복지플래너 교육 및 지원,"건강여가프로그램관리, 어르신 그룹별 체험프로그램 관리, 강당 및 프로그램실 관리","시각장애인 안마서비스, 발달장애인 개인별 지원계획 수깁","찾아가는 양성평등교육, 성인지교육","법령, 조례 및 제도개선에 관한 사항",슬레이트 처리 지원 사업,과태료 부과 이의신청 및 비송사건 처리,양천공원 책쉼터 및 키지트 운영,"폐형광등, 폐건전지, 소형폐가전","임대사업자 양도, 말소, 과태료 등","주민제안 및 협의 등 관련업무(목동, 신정동, 신월동)","안전진단 업무(신월시영아파트, 신안파크아파트, 길훈아파트)",사용승인건축물 예방점검 총괄,부동산거래신고의무 위반자 과태료 부과 등 관리(목동),재난안전 관련 업무계획 및 지시사항 처리,"도로 유지보수 민원담당(신월동, 신정동)",하수도 조사 CCTV 촬영,자동차검사 과태료 부과 및 체납관리,시설관리공단 위수탁 관련(신월동),구급차 운행 및 관리,기획(수시) 점검 계획 수립 등 총괄,코로나19예방접종 민간위탁의료기관 관리지원,치과기공소 안경업소 민원처리 및 지도점검,목동보건지소 민원상담 및 접수
21,종합상황실근무,양천구민상 및 모범구민 표창,"홍보책자(화보집, 리플릿 포함) 및 홍보물품 제작","사립작은도서관 관리, 기록물(문서접수)","문화산업(PC방, 노래연습장), 출판, 관광 등 (목동)",통합민원 인증기 관리,"환경녹지국, 안전교통국 소관 예산",서울시상담시스템 및 고용노동부 워크넷 시스템 총괄,빅데이터 활용 정책 수립 추진,"구금고 및 자금관리, 금고검사",특별징수 불이행범 고발 총괄,"취득세 및 재산세 담당동(신정1동, 신월7동)",공시송달 총괄 및 특징 수기분 입력,"복지사각지대 발굴 및 지원, 고독사 예방 및 사회적 고립가구 지원사업 총괄",상설 체험 프로그램 운영 등 센터 민원 응대,"장애인 주간보호시설 운영, 수어통역센터 운영, 신월누리복지센터(신월센터 제외), 시각 장애인 쉼터 운영",청소년지도협의회 보조금 연간계획수립,양천형 긴급야간돌봄시설운영,환경정보관리 및 환경영향평가,벽보게시대 운영,오목공원 내 여가시설 운영,"비닐, 투명페트병 분리배출 요일제",임대차계약신고(목동_방문접수),김포가도(양천) 지구단위계획구역 관리 및 운용,신월1동 모아타운 관리계획 수립 업무,위반건축물 관련 업무총괄,부동산거래신고 정밀조사 및 과태료 부과징수 관리,"재난관리정보(NDMS 등), 재난 예경보체계 구축사업 총괄, 초고층 및 지하연계 복합건축물 관리",기간제 운영 및 관리업무(보조),시민불편 사항 적출 및 처리,자동차검사 기간경과안내 및 검사명령서 발송,공영주차장 운영 민원처리 및 공유주차(신월동),코로나19 환자이송 및 방역업무 차량지원,신정4동 민원처리 및 시설조사,산모신생아 건강관리사 지원,예방접종실 진료,목동보건지소 대사증후군 사업 지원
22,민원안내 및 종합상황실(구청 및 보건소),대학생 행정인턴 운영,주간양천뉴스 제작,고교-대학 연계 지역인재육성 사업 업무,건강힐링문화관(건강힐링센터) 운영 총괄,"증명서 공용발급(검찰청,법원, 경찰서)",예산편성업무 총괄,일자리 잡다(JOB多) DAY 취업인터뷰 운영,각종 통계조사 계획 수립 시행 및 실시,구비 결산 및 지방재정공시,"현년도 체납총괄, 정리보류총괄",취득세 및 재산세 담당동(신정3동),"신정6,7동 부과징수",지역복지사업 평가(보건복지부),기타 타 직원 이외의 업무,발달장애인 실종방지 프로그램,아동친화도시 조성업무추진(연간),"보육사업 예산 편성, 교부신청, 보육료 예탁 등 총괄","소음, 비산먼지(목동)",간판교체사업,공원의 친구들(공원여가 자원봉사자) 운영,재활용 적환장 관리,"임대사업자 등록관리 업무(목동)-임대사업자 등록, 변경 등",신정생활권중심 지구단위계획구역 관리 및 운용,"소규모주택정비법 관련 조례규칙 개정, 법령 질의회신 등",이행강제금 관리업무 총괄,토지거래계약 허가에 관한 업무(신정동),"범죄예방디자인 사업관리, 재난배상책임보험, 안전신문고 관리 및 운영",공무직 및 기간제 근로자 안전교육 및 관리,민원차량 운전 보조,"자동차관리사업(정비업,매매업,양도양수)관련업무",부설주차장 야간개방 사업(신월동),감염병 비상발생 시 업무지원,원산지표시(식품접객업) 지도점검,저소득층 기저귀 조제분유 지원,신월보건지소 진료,목동보건지소 물리치료실 운영
23,7급이하 행정직 인사발령 및 교류,"민주평화통일자문회의, 새마을운동 활동지원","시니어소식지 발행, 시니어 명예기자 운영",미래교육센터 운영,프로그램 기획 운영 및 시설？인력 관리,통합민원(주민등록 등초본),"특별교부세, 특별조정교부금 확보","구인구직자 발굴 및 등록, 취업상담 알선관리",통계연보 등 자료발간 및 통계DB 관리,"구비(도시관리국, 교통행정과) 지출","체납 담당동 : 신월5동, 신정3동",재산조회 및 과세증명서 발급 총괄,등록면허세(정기분) 총괄,동 지역사회보장협의체 운영 관리,"세외수입 총괄, 공공운영비 지출","사회복무요원, 안심일자리 운영",청소년건전활동 연간계획수립,"국공립어린이집 운영,관리,지도점검 및 임면(목동)",실내공기질,"기금관리심의위원회, 옥외광고심의위원회",파리공원 커뮤니티센터 및 책쉼터 운영,음식물류폐기물위탁처리,임대차계약신고(신정동-방문접수),주민제안 및 협의 등 관련업무,"소규모 재건축 가로주택정비사업, 민영주택(신월1동)","건축인허가(신정4동,신정6동)",전월세거래신고 운영 업무 총괄,"재난안전상황실 운영 및 관리, 재난발생시 초기대응(접수전파, 상황보고 등)",제설장비 관리 및 운영,하수도 조사 CCTV촬영 차량 운전,추석맞이 자동차 무상점검,"공영주차장 설계 및 공사(건축, 토목)",소장실 업무,어린이급식관리지원센터 운영,선천성 난청 검사 및 보청기지원,결핵실 진료,만성질환 및 허약노인 운동 프로그램 운영
24,7급이하 행정직 근무성적 평정,"기부심사위원회, 지명위원회 운영관리",『양천구소식』 발행(부),진로직업체험지원센터 업무 총괄,힐링상담실 총괄 운영,정부24운영,통합재정안정화기금 예산 업무,"공공일자리 구직자 등록 및 취업상담(신월5동~신월7동, 신정1~신정2동",빅데이터 분석 및 활용 추진,국비 지출,고액 체납시세 이관업무 총괄,세무전산 총괄,"주민세,등록면허세(면허분)부과징수(신월1~7동)",동 복지대학 운영,"디지털프로그램 관리, 1~3세대 체험프로그램 관리, 홈페이지 관리, 물품 및 시설관리",발달장애인 후견인제 운영,신월청소년문화센터 운영 및 관리,"양천구청 직장어린이집 운영,관리 (365열린어린이집)",공항소음대책 업무,옥외광고발전기금관련 업무,넘은들공원 책쉼터 운영,RFID종량제시스템,타 지자체 민원이송(부),지구단위계획 관련 각종 통계 및 홈페이지 등 자료 정비,"재건축정비사업(신월4구역, 신안약수,서울가든아파트)","건축인허가(신월1,5동)",전월세거래신고 지연자 등 과태료 부과징수 관리,중대재해처벌법 관련 업무,제설(유니목)차량 운전 및 관리,하수기동반 덤프트럭 운전,자가운전자 정비교실 업무,"공영주차장 유지보수 및 관리, 민원처리(건축, 토목)",직인관리,소비자식품위생감시원 운영,난임부부 의료비 지원,진료실 진료,장애인 재활운동 프로그램 운영
25,"근속승진 및 대우공무원 선발, 인사고충 등",북한이탈주민 지원,"상징물(캐릭터), 상징조형물, 구정 홍보판 관리",진로직업체험지원센터 예산 관련 업무,원데이해빛 및 기획 힐링프로그램 운영,동문서 행낭 관리,"감사담당관, 행정지원국 소관예산",일자리잡다(JOB多) DAY 취업인터뷰 운영,빅데이터 플랫폼(스마트맵) 운영 및 고도화,복식부기. 재무회계 결산,명단공개 총괄,취득세 등 과징실태 총괄,"주민세(개인분,종업원분) 총괄",명예사회복지공무원 운영 관리,상설 체험프로그램 등 센터 민원 응대,장애인생산품 우선구매 지원,청소년참여위원회 운영,"국공립어린이집 확충, 재건축","소음, 비산먼지(신정동)","고정광고물 허가,신고,기간연장 총괄(신월동)",유아숲체험 및 산림서비스(숲해설)프로그램 운영,음식물류폐기물 수거용기 관리,도시관리국장실 비서,"신정4구역 재건축, 신정1-1구역 재개발, 신정1-2, 1-4구역","소규모 재건축,가로주택정비사업,민영주택건설사업(신월2,6,7동)",업무대행건축사 관리,"토지거래계약 허가(목동신시가지아파트 12~14단지, 신월동)",중대산업재해 관련 업무,도로유지보수반 운영 및 자재관리,차량 유지관리 업무,"기타 자동차관련(단체,조합)업무",내집주차장 조성(그린파킹/담장허물기) 사업,결핵관리 사업계획 수립 및 인센티브 사업 평가,식품 관련 신고 및 민원처리,선천성 난청검사 및 보청기 지원,"정신건강복지센터운영,찾동 정신건강증진사업",재활기구대여 사업
26,직장내 성희롱 성폭력 고충상담,"공익민간단체 총괄(바르게,한국자유총연맹 등)",홍보모델 선발 및 관리,학습지원 프로그램 기획 운영,해빛컨설팅 운영,공인(관인) 관리,세입예산 편성 및 관리,양천지역 맞춤형 구인기업 구직자 발굴 및 취업상담 운영,데이터기반행정 실태 점검 및 평가 추진,분개 승인,"체납 담당동 : 신월6동, 신정1동, 신정6동",취득세 및 재산세 담당동(신정4동),"주민세,등록면허세(면허분)부과징수(신정1~4동)",복지대상자 연간모니터링 총괄,어르신일자리 전담(청소행정과),시각장애인 쉼터 설치,아동친화도시,구유재산관리,"대기오염경보제(미세먼지, 오존, 황사 등)","불법유동광고물 순찰, 정비 총괄",용왕산 작은책쉼터 운영,1회용품(다회용품) 관련 업무,"공동주택관리 - 목동 7, 12~14단지, 목동지역","신정2-2구역, 역세권활성화 사업","공동주택 품질 검수반 구성, 운영",건축인허가(신월2동),부동산거래신고 정밀조사 업무 총괄,산업안전보건위원회 운영,도로유지보수반 운영 및 창고 자재 관리(보조),"하수시설물 순찰, 점검",자동차 불법구조변경 및 안전기준 부적합 업무,중대재해예방 및 처벌법 관련,의료기관 결핵환자 관리,식품위생업소 위생교육에 관한 사항,고위험 임산부 의료비 지원,"정신총괄, 치매총괄 정신재활총괄,자살총괄",목동보건지소 대사증후군 관리사업
27,"조직진단 및 관리, 정현원 관리","남부범죄피해자지원센터, 민주화운동 관련자",소식지 디자인 편집 및 제작(정),양천구청 공무원 체험 운영,프로그램 강의 지원 및 민원업무,"대외문서 접수 및 배부, 우편물 접수 및 배부",재정 신속집행 추진 총괄,"구인구직자 등록 및 취업상담, 알선 관리",데이터기반 역량강화 교육 추진,구비)지방재정관리시스템 권한관리,"독촉장발송, 공시송달",취득세 및 재산세 담당동(목4동),"등록면허세(면허분) 신고,수시분 총괄",중장년 1인가구 지원사업(5대 복지관),어르신 일자리 전담,"장애인 직업재활시설(생산품판매시설) 운영, 발달장애인 평생교육센터 운영",아동참여위원회 운영,국공립어린이집 위탁 심의 및 보육정책위원회,차량운전 및 지원,현수막 게시대 설치운영,양천둘레길 프로그램 운영,재활용 의류수거함 운영,공동주택관리의 감사에 관한 조례 관리,신월7동1구역 주택재개발사업(신속통합기획),,"건축신고(신정4,6동)",-부동산거래신고 및 외국인 토지거래 허가(신고),"지역안전보건협의체, 지자체합동평가",기동보수차량 운전 및 유지관리,하수기동반 차량 운전 및 유지관리,"불법자동차 지도, 단속 및 과태료 부과",주요 회의자료 작성 및 제출,"만성감염병, 국가 결핵관리사업 예산집행운영",식품행정통합시스템 관리,아이원센터 운영,정신건강증진사업 회계및 전반 업무,목동보건지소 민원상담 및 접수업무
28,기준인건비 산정 및 보수관리,행정사 업무,구정홍보물 디자인 제작 및 편집,"구의회, 주요업무보고 자료 등 작성","일상경비 회계처리, 수강료, 환불업무, 세외수입 및 물품관리",무인민원 발급기 운영 관리,재정공시 관련업무,공공일자리 구직자 등록 및 취업상담(신정3동~신정7동),정보기술아키텍처(EA) 총괄,행정지원국.보건소.안전재난과.주차관리과,"자동차 일괄압류, 사망자 재산조회(안심상속)","취득세 및 재산세 담당동(신월1동,신정7동)",등록면허세(면허분) 인허가 부서 및 기관 문서접수,전입신고 연계 복지상담 관리,어르신복지관 및 소규모 노인복지센터 관리운영,"희망카페 및 희망세차 관리, 장애인 전동보장구 수리센터 운영",청소년상담복지센터 운영 및 관리,중대재해처벌법 관련 총괄,배출가스 점검 등,불법광고물 부착방지시설 설치운영,공원여가팀 공공요금 납부,재활용품 무인회수기 운영,입주자대표회의 운영교육,신정동 1152번지 일대 주택재개발사업,,건축통계,-부동산 검인처리 및 검인용 직인관리,산업안전보건법상 안전관리자 업무,제설(유니목)차량 운저 및 관리,하수시설물 순찰 점검,"새올, 응답소 민원처리업무",불법주정차 단속 총괄,코로나19 기간제 채용 및 인력예산관리,"건강기능식품판매업 신고, 민원처리",모자건강 증진센터 운영,정신건강복지센터 운영비지급 및 행정지원,목동보건지소 운동프로그램 관리
29,5급이상 연봉,주민자치회 사업 총괄,"홍보판(사진, 디자인) 관리",미래교육지구 사업,센터 홈페이지 관리,"기록물 관리(이관, 폐기)",주민복지국 소관 예산,구인.구직자 등록 및 취업상담. 알선 관리,"행정정보시스템(가상화, 백업, DB 등) 통합 관리","봉급, 수당관리","체납 담당동: 신정2동, 신정4동",지방세 지출예산 총괄,"주민세,등록면허세(면허분)부과징수(목2동,신정6~7동)","희망두배 청년통장 모집 및 선발(총괄, 신정동), 꿈나래 통장 모집 및 선발 총괄",밝은내어르신복지센터 이전,"장애인거주시설, 사회복지법인 프리웰","청소년복지심의위원회 운영, 청소년특별지원사업","국공립어린이집 운영,관리, 지도점검 및 임면(신월동)","소음, 비산먼지 (신월동)","고정광고물 허가,신고,기간연장,정비(신정동)",가로수 띠녹지 조성 관리,소형공동주택 분리수거함 관리,"민원처리 목동1~3단지, 신월동",신월5동 77일대(공공) 주택재개발사업,,공공건축물 토목분야,-부동산거래관리시스템 운영 및 관리,"중대재해 사업장 현장 지도점검(도급, 용역, 위탁 포함)",도로유지보수반 운영 및 창고자재관리,하수시설물 민원처리,불법자동차 유관기관 합동단속,"양천구청에 바란다, 직통문자 처리","코로나19 선별진료소, 임시선별검사소 운영","즉석판매제조가공업 신고, 민원처리",남녀 임신준비 지원 사업 운영,정신질환자 행정입원 등 관리 업무,목동보건지소 작업치료실 운영
30,인사위원회 운영,서울시 및 동 자치회관 평가,소식지 디자인 편집 및 제작(부),Y교육박람회 4차산업 총괄,힐링상담실 운영 지원,기록관리실태점검(부서),간주처리 및 보조금(지방보조금)사업 총괄,일자리 잡다(JOB 多)DAY 취업인터뷰 운영,정보통신실 운영 관리,"구비(감사담당관, 기획재정국, 도로과, 치수과) 지출",납세증명서 총괄,취득세 및 재산세 담당동(목5동),주민세(사업소분) 총괄,양천구 복지상담센터 운영관리,노인의날 행사,장애인가족지원센터,학교밖 청소년지원센터(꿈드림)운영 및 관리,보육교직원 보수교육 및 호봉,환경전문공사업(측정대행업) 관리,불법유동광고물 주민 수거 보상제,서남권 공원녹지 네트워크 조성사업,재활용장터운영,"K-아파트, S-아파트 소관 업무","신정1-2, 1-4구역 재개발(촉진지구) 업무",,공공건축물 설계공사감독(건축분야),-부동산등기 특별조치법 위반자 과태료,양천구 위험성평가 총괄,제설(다목적)차량 운전 및 관리,하수도 조사 CCTV 촬영 보조,도로표지(판) 정비 및 유지관리,"시간선택제임기제, 공무직 채용 및 관리, 후생복지 등",방역업무 종합계획 수립 및 총괄,"식품 등 허위,과대광고 모니터링 관리",모자보건 교육 프로그램 운영 관리,치매관리사업,지역중심재활사업 장애인 프로그램 운영(목동)
31,7급이하 기술직 인사,주민자치회 사업비(특화프로그램) 공모 및 지원,주간뉴스 미디어 콘텐츠 제작,구립 교육지원타운 이전？조성,정규해빛 및 찾아가는 해빛 운영,기록관리시스템 운영,성인지예산 관련 업무,양천지역 맞춤형 구인기업.구직자 발굴 및 취업상담 운영,온나라시스템 2.0 전환 관련 업무,"구비(주민복지국,환경녹지국), 시비 지출","채권 압류, 동산 압류, 관허사업 제한",지역자원시설세 총괄,"주민세,등록면허세(면허분)부과징수(목1동,목3~5동)",복지사각지대 발굴시스템 등 조사 총괄,"한파쉼터, 무더위쉼터","장애인복지시설 지도점검 총괄, 장애인복지시설 총괄자료 수함","청소년 방과 후 아카데미교실 운영, 청소년육성위원회 운영","민간어린이집 운영관리(목동,신월1~4동)","배출가스(자동차, 이륜차 정기검사)",주인 없는 간판 정비 용역,민영주택건축 조경 협의,"과대포장, 분리배출표시 관련",통합정보마당,"신정2-1구역, 신정1-3구역, 신정제4구역 재개발",,보건소 청사 확충 건립,"부동산 관련 제증명 창구 관리,지적정보이용 신청 업무",현업근로자 안전교육 관리,보도유지관리 계획 수립,풍수해 대책 추진 및 상황실 운영,"지하철역 승강편의시설(에스컬레이터, 엘리베이터) 설치관련 업무",의견진술 심의회 운영,마을사랑방역봉사단 관련 업무,명예공중위생감시원 운영 관리,산모신생아 건강관리서비스 의료비 지원,자살예방 및 생명존중사업,지역 주민 지역보건의료센터 및 치매안심센터 등 기관 연계
32,임기제,주민자치회 위원관리,양천구 공식 SNS 운영 총괄,Y교육박람회 드론축구 경진대회 운영,힐링치유방 운영 및 관리,제1서고 관리(주민등록카드관리),보조금관리위원회 운영 업무,공공일자리 구직자 등록 및 취업상담(신월1동~신월4동),다기능 사무기기 및 소모품 구매 보급/관리,"반납 및 과목경정, 서류 관리","체납 담당동 : 신월7동, 신정7동","취득세 및 재산세 담당동(신월4동,신정2동)",자동차세 수시분 총괄,사회적고립가구(주거취약 1인) 전수조사 관리,스마트경로당 사업 추진,맑은샘 소송,다함께 돌봄사업,부모모니터링단 운영,가정용 친환경 보일러 보조금 지원,"불법유동광고물 현장순찰 및 정비(신월동전체, 신정3,4동)",도시구조물 벽면녹화 조성 및 관리,다량배출사업장 관련,양천구 공동주택관리 분쟁조정위원회 조례 관리 및 운영,"신정재정비촉진지구 3-1,3-2구역 도시환경정비사업 업무",,신월7동 복합청사 건립,지적도 세계측지계 변환업무(총괄),시설물 안전법 관련 업무,보도 공사설계 및 감독업무 수행,"팀예산, 감사, 심사분석,의회관련 업무","자전거보관대, 자전거공기주입기 설치 및 유지관리",진정민원 및 다수인민원 처리,에이즈 예방관리사업,공중위생업소 위생서비스 평가,모자보건교육프로그램운영,마음건강검진 및 상담지원사업,
33,별정직 및 개방형 임면,자치회관 예산편성 및 조례 관리,SNS 운영 및 활성화 종합계획 수립,지역연계 및 교육복지 프로그램 운영,공공체육시설 조성에 따른 개발계획 수립 및 관리,교합,"기획재정국, 도시관리국 소관 예산업무, 총액인건비 업무 총괄, 시설관리공단 관련 업무",구인.구직자 등록 및 취업상담.알선 관리,복합기 통합 관리 시스템 운영,세입세출외현금 출납관리,자동차세 체납차량 영치 및 징수촉탁,비과세 감면 총괄,자동차세 연납 신고분 총괄,생활복지통합정보시스템 관리,어르신놀이터 조성,"장애인 공동생활가정 운영, 장애인 단기거주시설 운영, 장애인 작업장 등 기타 시설 관리",우리동네 키움센터 설치운영,평가제 총괄,공항소음대책지역 주민 상담서비스 지원,"공공근로자 관리 업무, 관용차량관리","어린이공원 유지관리(목동, 신월동), 조성(강월, 꽃동산, 금실, 문화, 돌다리 테마놀이터)","건설폐기물, 사업장폐기물","민원처리: 목동8~11단지, 신정동 지역",역세권 소규모 재개발사업,,양천구 보육타운 건립,부동산종합공부시스템 자료정비(총괄),계절별 시설물 안전점검,보도 및 인도 10계명 추진,사각형거 보수공사,"도로부속시설물(볼라드, 반사경, 시선유도봉 등) 신설 및 유지 관리",당직민원 처리,"3급,4급 감염병 발생 신고 및 역학조사",숙박업 관리,"산모,신생아 건강관리 서비스및 의료비지원",방사선실근무,
